Time;Open;High;Low;Close;Volume
25-7-2018;476.7;482.2;461.7;469.5;50
26-7-2018;469.4;481.9;457.6;459.8;49
27-7-2018;459.9;467.3;454;464.8;45
29-7-2018;463.4;467.2;462.1;464.1;6
30-7-2018;464;466.4;444;454.2;49
31-7-2018;454.1;454.9;425.6;429.9;51
1-8-2018;429.6;432.5;405.6;417.2;48
2-8-2018;417.4;422.1;405.6;408.6;48
3-8-2018;408.5;417.3;395.4;413.3;42
5-8-2018;409.6;410.7;405.9;406.4;6
6-8-2018;406.5;410.5;398.9;402.6;48
7-8-2018;402.5;408;367;375.7;48
8-8-2018;375.6;378;345.6;353;48
9-8-2018;352.9;367.9;348.6;361.2;48
10-8-2018;361.1;363.3;340.6;340.8;42
12-8-2018;317.7;319.2;315.1;315.9;6
13-8-2018;315.8;319.8;278.9;281.7;48
14-8-2018;281.7;281.8;248.3;276;48
15-8-2018;276.2;302.2;274.9;278.8;48
16-8-2018;278.9;296.4;275.9;284.5;48
17-8-2018;284.6;305.2;283;298.4;42
19-8-2018;299.1;299.8;296.6;297.3;6
20-8-2018;297.2;301.4;267.1;268.4;48
21-8-2018;268.3;283.2;267.4;278.8;48
22-8-2018;278.7;296.4;257.5;267.9;48
23-8-2018;268;277.9;266;273.6;48
24-8-2018;273.7;279.3;268.1;277.7;42
26-8-2018;270.3;272.4;269.8;272;6
27-8-2018;272;285.6;269.6;285.5;48
28-8-2018;285.5;295.5;280.5;293.2;48
29-8-2018;293.3;294.6;282;286.3;48
30-8-2018;286.4;288.5;270.1;281.9;48
31-8-2018;281.7;282.5;274.4;281;42
2-9-2018;291.3;293.2;290;292.7;6
3-9-2018;292.6;293.9;283.4;286.5;48
4-9-2018;286.6;290;280.1;282.9;48
5-9-2018;282.9;285.2;224.3;225.8;48
6-9-2018;225.7;230.5;209.1;227.3;48
7-9-2018;227.2;231.7;211.6;215.4;42
9-9-2018;199.3;199.7;189.5;193.6;6
10-9-2018;193.5;200.2;185.1;195.3;48
11-9-2018;195.2;197.1;174.4;183.2;48
12-9-2018;183.3;183.3;165.8;181.1;48
13-9-2018;181.2;213;181.1;209.3;48
14-9-2018;209.4;222.3;201;216.9;42
16-9-2018;220.1;220.5;216.7;218.2;6
17-9-2018;218.3;223;190.6;194.2;48
18-9-2018;194.1;212.7;192.4;206.9;48
19-9-2018;206.8;212.9;195.8;207.9;48
20-9-2018;208;225.7;205.2;222.6;48
21-9-2018;222.5;250.1;219.2;241;42
23-9-2018;239.9;243.6;238.3;242.8;6
24-9-2018;242.6;244;223.4;226.1;48
25-9-2018;226.2;226.2;201.7;217.4;48
26-9-2018;217.5;220.8;205.6;212.4;48
27-9-2018;212.4;232;208.4;227;48
28-9-2018;227.1;231.9;213.3;219.1;42
30-9-2018;226.3;232.8;225.4;230.7;6
1-10-2018;230.8;233.1;223;229.3;48
2-10-2018;229.4;230;221.1;223.9;48
3-10-2018;223.8;224.4;214.3;218.7;48
4-10-2018;218.7;224.4;217.6;220.4;48
5-10-2018;220.3;223;217.4;221.2;42
7-10-2018;218.5;221.5;218;220.5;6
8-10-2018;220.6;226.1;218.3;223.9;48
9-10-2018;223.9;224.9;220.4;222.2;48
10-10-2018;222.1;222.5;217.4;219.6;48
11-10-2018;219.7;219.9;181.4;184.9;53
12-10-2018;184.8;195.3;183.1;191.4;41
15-10-2018;188.8;225.1;186.9;204.7;52
16-10-2018;203.9;208.9;200.7;205.5;48
17-10-2018;205.5;208;200;204.5;48
18-10-2018;204.5;205;194;197.5;48
19-10-2018;197.5;199.8;195;197;41
22-10-2018;199.9;201.2;194.6;196.2;48
23-10-2018;196.1;197;192.8;196;48
24-10-2018;196.1;197.5;195.2;195.6;48
25-10-2018;195.6;195.8;192.8;194.6;48
26-10-2018;194.6;199.1;193.6;195;40
29-10-2018;197.4;197.6;186.6;189.3;48
30-10-2018;189.2;191.4;188;190.3;48
31-10-2018;190.3;194.1;186.8;191.8;48
1-11-2018;191.9;193.5;191.2;192.8;48
2-11-2018;192.7;196.4;192.7;195.2;41
5-11-2018;205.1;206.2;200.5;203.5;48
6-11-2018;203.5;213.9;202.1;213.4;48
7-11-2018;213.6;217.7;210.4;211.7;48
8-11-2018;211.6;213.1;204.8;205.1;48
9-11-2018;205.3;207.1;202.1;203.4;41
12-11-2018;204.7;206.1;202.1;203.7;48
13-11-2018;203.6;203.7;197.8;198.2;48
14-11-2018;198.2;199.8;160.4;172.8;50
15-11-2018;172.7;175.8;160.5;173.6;48
16-11-2018;173.8;174.4;165.3;165.8;44
18-11-2018;169.2;170.9;168.4;170.8;4
19-11-2018;170.8;170.8;137.4;140.4;48
20-11-2018;140.3;144.6;116.7;122.6;48
21-11-2018;123.4;132.3;117.5;129.6;48
22-11-2018;129.7;131.6;117.5;118.3;48
23-11-2018;118.4;120.1;111.6;115;44
25-11-2018;111.2;112.2;108.3;109.4;4
26-11-2018;109.4;111.9;97.7;101.9;48
27-11-2018;101.8;106.3;94.2;103.6;48
28-11-2018;103.7;121.1;103.6;116.9;48
29-11-2018;117.4;118.4;108.6;111.8;48
30-11-2018;111.7;114.4;105;106.7;44
2-12-2018;111.4;112;109.5;110.3;4
3-12-2018;109.9;110.6;100.3;102.6;48
4-12-2018;102.6;107.5;100.2;104.1;48
5-12-2018;104.1;104.6;95.6;95.7;48
6-12-2018;96.1;98.4;84.2;84.2;48
7-12-2018;84.3;93;76.6;88.2;44
9-12-2018;88.1;89.6;87.2;87.7;4
